iter	Passed	Remaining
561	3408	2656
562	3418	2653
563	3424	2647
564	3430	2641
565	3437	2635
566	3443	2629
567	3449	2623
568	3454	2616
569	3460	2610
570	3467	2604
571	3473	2598
572	3479	2592
573	3485	2586
574	3492	2581
575	3498	2574
576	3504	2568
577	3509	2562
578	3515	2556
579	3521	2550
580	3527	2544
581	3534	2538
582	3540	2532
583	3546	2526
584	3552	2520
585	3558	2514
586	3564	2508
587	3570	2501
588	3575	2495
589	3581	2488
590	3588	2483
591	3593	2476
592	3599	2470
593	3606	2464
594	3611	2458
595	3617	2452
596	3623	2446
597	3630	2440
598	3636	2434
599	3641	2427
600	3648	2421
601	3653	2415
602	3659	2409
603	3666	2403
604	3672	2397
605	3678	2391
606	3684	2385
607	3690	2379
608	3696	2373
609	3702	2367
610	3708	2361
611	3714	2354
612	3720	2348
613	3726	2342
614	3733	2336
615	3739	2330
616	3745	2324
617	3751	2318
618	3756	2312
619	3762	2306
620	3768	2300
621	3775	2294
622	3781	2288
623	3787	2282
624	3794	2276
625	3800	2270
626	3806	2264
627	3812	2258
628	3818	2252
629	3825	2246
630	3831	2240
631	3836	2234
632	3843	2228
633	3849	2222
634	3855	2216
635	3861	2210
636	3867	2203
637	3874	2198
638	3879	2191
639	3886	2186
640	3892	2180
641	3898	2174
642	3904	2168
643	3911	2162
644	3917	2156
645	3924	2150
646	3929	2144
647	3936	2138
648	3942	2132
649	3949	2126
650	3955	2120
651	3961	2114
652	3965	2107
653	3972	2101
654	3978	2095
655	3983	2089
656	3990	2083
657	3996	2077
658	4003	2071
659	4009	2065
660	4016	2059
661	4022	2053
662	4028	2047
663	4035	2041
664	4041	2035
665	4047	2029
666	4052	2023
667	4059	2017
668	4065	2011
669	4072	2005
670	4078	1999
671	4084	1993
672	4091	1987
673	4097	1981
674	4102	1975
675	4108	1969
676	4114	1963
677	4121	1957
678	4127	1951
679	4134	1945
680	4140	1939
681	4146	1933
682	4153	1927
683	4159	1921
684	4165	1915
685	4171	1909
686	4178	1903
687	4184	1897
688	4191	1891
689	4197	1885
690	4204	1880
691	4210	1874
692	4217	1868
693	4223	1862
694	4230	1856
695	4234	1849
696	4240	1843
697	4247	1837
698	4253	1831
699	4259	1825
700	4266	1819
701	4272	1813
